text,label
wales want rugby league training wales could follow england s lead by training with a rugby league club.  england have already had a three-day session with leeds rhinos  and wales are thought to be interested in a similar clinic with rivals st helens. saints coach ian millward has given his approval  but if it does happen it is unlikely to be this season. saints have a week s training in portugal next week  while wales will play england in the opening six nations match on 5 february.  we have had an approach from wales   confirmed a saints spokesman.  it s in the very early stages but it is something we are giving serious consideration to.  st helens  who are proud of their welsh connections  are obvious partners for the welsh rugby union  despite a spat in 2001 over the collapse of kieron cunningham s proposed £500 000 move to union side swansea. a similar cross-code deal that took iestyn harris from leeds to cardiff in 2001 did go through  before the talented stand-off returned to the 13-man code with bradford bulls. kel coslett  who famously moved from wales to league in the 1960s  is currently saints  football manager  while clive griffiths - wales  defensive coach - is a former st helens player and is thought to be the man behind the latest initiative. scott gibbs  the former wales and lions centre  played for st helens from 1994-96 and was in the challenge cup-winning team at wembley in 1996.,0
young debut cut short by ginepri fifteen-year-old donald young s first appearance in an atp tennis tournament proved brief as the teenager went out in round one of the san jose open.  young shot to the top of the junior world rankings when he won the boys  singles at january s australian open. but the wildcard entry was dispatched by fellow american robby ginepri in straight sets  6-2 6-2  in california. despite that he was happy with his tour debut.  it was fun. i had my chances  but they didn t come through   he said. young  who beat two players ranked in the top 200 when he was just 14  was only 2-1 down in the first set before losing 10 of the next 13 games. and ginepri - six years older than the youngest player to ever win a junior slam and top the global standings - admitted he was impressed.   he s very talented   said ginepri.  he s got a long future ahead of him.  being left-handed  he was very quick around the court.  his serve is a little deceptive. he came into the net and volleyed better than i thought.  earlier  south korean hyung-taik lee defeated american jan-michael gambill 6-3 7-6 (7-4). american kevin kim defeated jan hernych of the czech republic 7-5 6-3  canadian qualifier frank dancevic downed american jeff morrison 4-6 7-6 (7-3) 6-0  and denmark s kenneth carlsen beat irakli labadze of the republic of georgia 6-7 (4-7) 6-2 6-3. top seed andy roddick launches his defence of the title on wednesday against qualifier paul goldstein. second seed andre agassi opens his campaign on tuesday against wildcard bobby reynolds  last year s us collegiate champion. agassi has won the san jose five times  but his run of three straight titles ended last year when he fell to mardy fish in the semi-finals. fish went on to lose to roddick in the final.,0
pearce keen on succeeding keegan joint assistant boss stuart pearce has admitted he would like to succeed kevin keegan as manager at manchester city.  keegan has decided to step down as city manager when his contract comes to an end in 18 months.  you don t have to be einstein to realise there will be a manager s job available at a really good club   pearce told bbc gmr.  i will certainly be applying for it  although whether the board deem me good enough to take it  i do not know.  pearce initially joined city as a player under keegan in 2001 before becoming part of the coaching staff. he was promoted to joint assistant-manager following the departure of arthur cox last summer.  the former england defender had a year as player-boss with nottingham forest eight seasons ago but has made no secret of his desire to have another crack at the job. he was linked with the manager s job at oldham and keegan has stated he would not get in the way if pearce wanted to leave. but it now appears pearce is keen to wait for his chance at city. he added:  by that time  i will have been here for five years so at least they will have had a good look at me and they are aware of my feelings with regard to being kevin s successor.  obviously  the issue is out of my hands but it is a fantastic job for anybody - i just hope it will be me.,0
harinordoquy suffers france axe number eight imanol harinordoquy has been dropped from france s squad for the six nations match with ireland in dublin on 12 march.  harinordoquy was a second-half replacement in last saturday s 24-18 defeat to wales. bourgoin lock pascal pape  who has recovered from a sprained ankle  returns to the 22-man squad. wing cedric heymans and ludovic valbon come in for aurelien rougerie and jean-philippe grandclaude.  rougerie hurt his chest against wales while grandclaude was a second-half replacement against both england and wales. valbon  capped in last june s tests against the united states and canada  was a second half replacement in the win over scotland.  france coach bernard laporte said harinordoquy had been axed after a poor display last weekend.  imanol has been dropped from the squad because the least i can say is that he didn t make a thundering comeback against wales   said laporte.  we know the ireland game will be fast and rough and we also want to be able to replace both locks during the game if needed  and gregory lamboley can also come on at number seven or eight.  the grand slam is gone but we ll go to ireland to win.  it will be a very exciting game because ireland have three wins under their belt  have just defeated england and have their eyes set on a grand slam.  france  who lost to wales last week  must defeat the irish to keep alive their hopes of retaining the six nations trophy. ireland are unbeaten in this year s tournament and have their sights set on a first grand slam since 1948.  dimitri yachvili (biarritz)  pierre mignoni (clermont)  yann delaigue (castres)  frederic michalak (stade toulousain)  damien traille (biarritz)  yannick jauzion (stade toulousain)  ludovic valbon (biarritz)  christophe dominici (stade francais)  cedric heymans (stade toulousain)  julien laharrague (brive)  sylvain marconnet (stade francais)  nicolas mas (perpignan)  olivier milloud (bourgoin)  sebastien bruno (sale/eng)  william servat (stade toulousain)  fabien pelous (stade toulousain  capt)  jerome thion (biarritz)  pascal pap&#233; (bourgoin)  gregory lamboley (stade toulousain)  serge betsen (biarritz)  julien bonnaire (bourgoin)  yannick nyanga (b&#233;ziers),0
davenport dismantles young rival top seed lindsay davenport booked her place in the last 16 of the australian open with a convincing 6-2 6-4 win over nicole vaidisova of the czech republic.  the american had too much power for her 15-year-old opponent  breaking twice in the first set and once in the second. the german-born vaidisova rallied well at times but was unable to find a way back after falling behind 3-2 in the opening set. davenport  who closed out with an ace  plays karolina sprem in the next round.  i was fully expecting a tough opponent and was able to play well enough to get through it   said davenport.  i think she hits some great shots. she made some errors but probably some inexperience played a role in that. but she s so young and obviously has a big game and has many  many years to improve on that.  sprem  the croatian 13th seed  saw off russia s elena likhovtseva 6-3 6-2. former world number one  powered her way into the fourth round with a straight sets win over anna smashnova. the 27th seed from israel stuck with williams until 3-3 in the first set before it became one-way traffic.  the american made 26 unforced errors but was still good enough to romp through the contest in exactly an hour. she reeled off nine straight games to finish a 6-3 6-0 winner.  remains on course to become the first australian to win her home title since chris o neil in 1978. the 10th seed equalled her best performance at a grand slam event when she beat unseeded russian nadia petrova 6-3 6-2 to reach the fourth round. after a tough first set  molik grew in confidence and won in just 56 minutes. she will now meet venus williams.  bring it on   said the 23-year-old.  i played pretty well and it was nice to get through in straight sets.   we were destined to meet  i guess   williams said referring to her match with molik.  it will be a huge match for her in australia. i can tell she s probably very motivated by that so i need to get out there and play well.   beat slovakia s daniela hantuchova in a rollercoaster match. dementieva came through 7-5 5-7 6-4  becoming the seventh russian woman to reach the last 16 in melbourne. the match lasted almost three hours and featured 13 service breaks  including three in the final set when dementieva held her nerve to seal the win. she now faces  after the swiss 12th seed beat american abigail spears 7-6 6-3. french open champion  received a free ride into the last 16 after lisa raymond was forced to withdraw. raymond  the 25th seeded american  was ruled out after sustaining a left abdominal muscle tear in the doubles. myskina  the third seed  now plays france s  who beat francesca schiavone of italy 6-3 6-3.  i m extremely disappointed because i couldn t have asked to play better in my first two matches   raymond said.,0
mourinho expects fight to finish chelsea manager jose mourinho expects the champions league clash with barcelona to be a fight to the finish.  mourinho is relishing the first leg of the tie against his former club in the last 16 in the nou camp. he said:  i wouldn t be surprised if nothing had been decided by the last minute of the return leg and the match had to go into extra time.  i have to defend what is mine and the champions league is mine at the moment. i m the last manager to have won it.  mourinho never coached barcelona  assisting both sir bobby robson and louis van gaal. but he is not envious  insisting:  i don t have to be jealous about barcelona because they have 100 years of history and have won the european cup once.   i have been managing for five years and i have the same amount of champions league trophies to my name.  barcelona star ronaldinho admitted:  i think that it is going to be a difficult match for us because chelsea have a good team full of big stars.  i have seen chelsea a few times on television  tactically they are very good and they are very strong on the counter-attack.  they pressure very well and keep possession of the ball so it will be important that we play our own game.  i believe they are the two strongest teams in europe. nevertheless  barcelona are accustomed to playing big games at the nou camp  where they have to face the likes of real madrid each season.  it is a special game  the atmosphere in the city changes  there are lots of journalists but inside the dressing room there is not a lot of difference   ronaldinho added.  we are only thinking of winning the match with all respect to the opposition.,0
boro suffer morrison injury blow middlesbrough midfielder james morrison has been ruled out for up to eight weeks after an operation on tuesday.  the 18-year-old  who has played in 13 of the club s last 14 games  had surgery to repair a double hernia. a club spokesman confirmed:  it is a bilateral sportsman s hernia  which was operated on yesterday.  morrison was sent for scans after being substituted at half-time during boro s 2-1 uefa cup win over graz ak in which he scored the equaliser. his injury is the latest blow for the teessiders  who have been without gaizka mendieta  george boateng and mark viduka for extended periods. meanwhile  the kick-off time for boro s uefa cup match at sporting lisbon on 17 march has been brought forward from 2115 gmt to 1945 gmt.,1
campese berates whingeing england former australian wing david campese has told england to stop whingeing in the wake of their defeat to ireland.  england coach andy robinson lambasted referee jonathan kaplan for costing them the game after disallowing tries from mark cueto and josh lewsey. but campese told bbc sport:  robinson is living up to england s reputation as whingeing poms.  stop going on about it as who really cares  they re acting like they re the first team to be cheated of a win.   england are contemplating a complaint to the international rugby board after potential  tries  by cueto in the first half and lewsey late on were ruled out without recourse to the video referee. but campese added:  scotland could have beaten france in the same way  but do you see them whingeing   basically  things didn t go england s way and  in typical fashion  they make more of it when they believe they ve lost unfairly.   england are second bottom in the six nations table following defeats by wales  france and ireland. but although campese admitted he was surprised about their current predicament  he insisted england were  no longer world class .  england are beginning to realise that being world champions doesn t mean you deserve to win every game   he said.  they lost a few key players and suddenly everyone s realised the ones on the fringes were not all that good in the first place.  added to that  the senior players aren t standing up and they can t do anything when the pressure mounts.   campese  a veteran of 101 international caps  said full-back jason robinson would now be the sole englishman in his world xv. robinson has been blamed for poor leadership in the tournament  while his coach has been castigated for appointing a full-back captain.  i agree that you can t captain from full-back   said campese.  you need someone in the thick of the action  and it s very hard to give orders from all the way back there.  some people are leaders and some aren t. he s not but there s no one who stands out in england s pack - no clear-cut leaders.  campese  though  defended coach andy robinson  who he believes was the  only choice  after sir clive woodward s resignation.  but he blamed  a lack of talent in the england camp  for making the current coach look poor. england face a potential wooden spoon match against italy on 12 march. and the ex-wallaby added:  if england lost that  they d be in bloody turmoil. that said  i don t think they will.  campese has tipped wales to win both the six nations and grand slam come the end of the tournament.  it s been a surprising tournament   he said   and maybe ireland have a little bit more talent overall.  but playing at home is a major boost. and the possible grand slam decider at the millennium stadium will be just too much for the irish.,0
edu describes tunnel fracas arsenal s edu has lifted the lid on the scenes that followed manchester united s win over the gunners.  the brazilian confirmed tempers had flared but could shed no light on reports that food was thrown at united boss sir alex ferguson.  i saw people being pulled apart  people pushing  pointing and shouting   he told uefa s official website.  the united players were trying to wind us up about the result but i didn t see any soup being thrown at anyone.  however  edu tried to play down the incidents  adding:  there was nothing that i haven t seen in brazilian derbies.  derby matches in brazil are worse. i like to play in games like this with this intense rivalry.  but edu was highly critical of the ferocity of some of united s challenges during the game  particularly on jose antonio reyes.  i think we were a lot fairer in the tackles than united   he said.  reyes was being kicked all over the park - they were beating up the boy and gary neville was tackling in such a way that he should have been sent off.  following the game  the football association said it would look into events in the tunnel. it also charged ruud van nistelrooy with serious foul play while arsenal boss arsene wenger has been asked to explain comments he made about the referee.,1
tottenham bid &#163;8m for forest duo nottingham forest have confirmed they have received an £8m bid from tottenham for andy reid and michael dawson.  reid rejected a move to southampton after forest accepted a cash-plus-players offer while spurs had made previous bids for the 22-year-old. spurs had also made an undisclosed offer for 21-year-old defender dawson. forest chief executive mark arthur said:  we ve received an £8m bid from spurs for the two players and we re considering the offer.  southampton s offer for republic of ireland international reid comprised £3m-plus and two players - brett ormerod and darren kenton.  spurs had seen previous bids of £3m  £4m and £5m for reid rejected by the championship club.,1
